,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
208,2013,Holt-Winters' additive method,2010,01-04-2010,1406.814602,1438.650879,0.977369956
209,2013,Holt-Winters' additive method,2010,01-05-2010,1371.829516,1370.602797,0.999105779
210,2013,Holt-Winters' additive method,2010,01-06-2010,1466.819963,1361.84905,0.928436403
211,2013,Holt-Winters' additive method,2010,01-07-2010,1230.075862,1302.581159,0.941056239
212,2013,Holt-Winters' additive method,2010,01-08-2010,1316.638416,1336.165163,0.985169241
213,2013,Holt-Winters' additive method,2010,01-09-2010,1461.90817,1414.055662,0.96726709
214,2013,Holt-Winters' additive method,2010,01-10-2010,1415.710175,1505.299552,0.936717714
215,2013,Holt-Winters' additive method,2010,01-11-2010,1565.999475,1663.659429,0.937637301
216,2013,Holt-Winters' additive method,2010,01-12-2010,1872.276643,1946.121047,0.960559031
217,2013,Holt-Winters' additive method,2011,01-01-2011,1700.400237,1571.030711,0.923918191
218,2013,Holt-Winters' additive method,2011,01-02-2011,1277.937634,1325.817611,0.962533401
219,2013,Holt-Winters' additive method,2011,01-03-2011,1484.16489,1506.003121,0.985285846
220,2013,Holt-Winters' additive method,2011,01-04-2011,1577.484479,1395.100342,0.884382928
221,2013,Holt-Winters' additive method,2011,01-05-2011,1256.881635,1329.643851,0.942108935
222,2013,Holt-Winters' additive method,2011,01-06-2011,1365.863201,1319.845956,0.966309038
223,2013,Holt-Winters' additive method,2011,01-07-2011,1194.73614,1259.05987,0.946160723
224,2013,Holt-Winters' additive method,2011,01-08-2011,1408.328134,1291.910792,0.917336494
225,2013,Holt-Winters' additive method,2011,01-09-2011,1329.566484,1371.721401,0.968294239
226,2013,Holt-Winters' additive method,2011,01-10-2011,1471.344872,1461.682873,0.99343322
227,2013,Holt-Winters' additive method,2011,01-11-2011,1591.192481,1621.677492,0.980841406
228,2013,Holt-Winters' additive method,2011,01-12-2011,1946.487392,1906.129527,0.979266311
229,2013,Holt-Winters' additive method,2012,01-01-2012,1579.553659,1534.671271,0.971585398
230,2013,Holt-Winters' additive method,2012,01-02-2012,1271.618161,1290.196837,0.985389737
231,2013,Holt-Winters' additive method,2012,01-03-2012,1454.67904,1472.584637,0.987691033
232,2013,Holt-Winters' additive method,2012,01-04-2012,1383.085355,1363.689343,0.985976273
233,2013,Holt-Winters' additive method,2012,01-05-2012,1256.578116,1296.868832,0.967936163
234,2013,Holt-Winters' additive method,2012,01-06-2012,1250.914708,1288.044558,0.97031784
235,2013,Holt-Winters' additive method,2012,01-07-2012,1424.697673,1226.206126,0.860678128
236,2013,Holt-Winters' additive method,2012,01-08-2012,1209.697283,1264.161177,0.954977254
237,2013,Holt-Winters' additive method,2012,01-09-2012,1290.272206,1342.954157,0.959169894
238,2013,Holt-Winters' additive method,2012,01-10-2012,1461.46163,1433.43108,0.980820195
239,2013,Holt-Winters' additive method,2012,01-11-2012,1659.064149,1594.405644,0.961027122
240,2013,Holt-Winters' additive method,2012,01-12-2012,1762.816821,1881.579183,0.93262921
241,2013,Holt-Winters' additive method,2013,01-01-2013,1515.563794,1508.677054,0.995455988
242,2013,Holt-Winters' additive method,2013,01-02-2013,1442.783329,1263.588197,0.875799
243,2013,Holt-Winters' additive method,2013,01-03-2013,1494.53245,1449.728816,0.970021639
244,2013,Holt-Winters' additive method,2013,01-04-2013,1198.571522,1343.861129,0.878781029
245,2013,Holt-Winters' additive method,2013,01-05-2013,1415.179078,1276.113762,0.901733061
246,2013,Holt-Winters' additive method,2013,01-06-2013,1170.703381,1271.634494,0.913785922
247,2013,Holt-Winters' additive method,2013,01-07-2013,1399.530637,1211.080216,0.865347413
248,2013,Holt-Winters' additive method,2013,01-08-2013,1199.030512,1250.701991,0.956905618
249,2013,Holt-Winters' additive method,2013,01-09-2013,1285.699875,1331.348985,0.964494739
250,2013,Holt-Winters' additive method,2013,01-10-2013,1574.435691,1423.802565,0.904325641
251,2013,Holt-Winters' additive method,2013,01-11-2013,1576.22275,1589.143338,0.991802816
252,2013,Holt-Winters' additive method,2013,01-12-2013,1897.742974,1877.862979,0.989524401
253,2013,Holt-Winters' additive method,2014,01-01-2014,1431.416965,1510.112385,0.945022714
254,2013,Holt-Winters' additive method,2014,01-02-2014,1295.234895,1268.646621,0.979472237
255,2013,Holt-Winters' additive method,2014,01-03-2014,1298.673707,1454.839824,0.879749535
256,2013,Holt-Winters' additive method,2014,01-04-2014,1500.886595,1349.920768,0.899415567
257,2013,Holt-Winters' additive method,2014,01-05-2014,1255.636159,1286.550773,0.975379322
258,2013,Holt-Winters' additive method,2014,01-06-2014,1248.203353,1282.12801,0.97282121
259,2013,Holt-Winters' additive method,2014,01-07-2014,1295.34551,1225.122168,0.945787945
260,2013,Holt-Winters' additive method,2014,01-08-2014,1273.485672,1263.424243,0.992099299
261,2013,Holt-Winters' additive method,2014,01-09-2014,1338.542127,1345.716489,0.994640167
262,2013,Holt-Winters' additive method,2014,01-10-2014,1439.808765,1440.235704,0.999703475
263,2013,Holt-Winters' additive method,2014,01-11-2014,1584.612492,1604.110933,0.987695136
264,2013,Holt-Winters' additive method,2014,01-12-2014,1810.307154,1893.164186,0.954230401
265,2013,Holt-Winters' additive method,2015,01-01-2015,1662.501069,1525.21115,0.91741965
266,2013,Holt-Winters' additive method,2015,01-02-2015,1055.452127,1283.745386,0.783700982
267,2013,Holt-Winters' additive method,2015,01-03-2015,1572.300884,1469.938589,0.934896497
268,2013,Holt-Winters' additive method,2015,01-04-2015,1261.277434,1365.019533,0.91774839
269,2013,Holt-Winters' additive method,2015,01-05-2015,1093.949577,1301.649538,0.810137537
270,2013,Holt-Winters' additive method,2015,01-06-2015,1288.687455,1297.226775,0.99337363
271,2013,Holt-Winters' additive method,2015,01-07-2015,1421.229635,1240.220933,0.87263937
272,2013,Holt-Winters' additive method,2015,01-08-2015,1318.693795,1278.523008,0.969537441
273,2013,Holt-Winters' additive method,2015,01-09-2015,1331.707548,1360.815254,0.978142569
