,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
219,2013,ETS MODEL-AAA,2011,01-03-2011,1484.16489,1506.117826,0.98520856
220,2013,ETS MODEL-AAA,2011,01-04-2011,1577.484479,1395.146809,0.884412384
221,2013,ETS MODEL-AAA,2011,01-05-2011,1256.881635,1329.875818,0.941924378
222,2013,ETS MODEL-AAA,2011,01-06-2011,1365.863201,1319.963667,0.966395219
223,2013,ETS MODEL-AAA,2011,01-07-2011,1194.73614,1259.198714,0.94604451
224,2013,ETS MODEL-AAA,2011,01-08-2011,1408.328134,1292.012914,0.917409007
225,2013,ETS MODEL-AAA,2011,01-09-2011,1329.566484,1371.905033,0.968156125
226,2013,ETS MODEL-AAA,2011,01-10-2011,1471.344872,1461.823784,0.99352899
227,2013,ETS MODEL-AAA,2011,01-11-2011,1591.192481,1621.793583,0.980768448
228,2013,ETS MODEL-AAA,2011,01-12-2011,1946.487392,1906.310666,0.97935937
229,2013,ETS MODEL-AAA,2012,01-01-2012,1579.553659,1534.894674,0.971726833
230,2013,ETS MODEL-AAA,2012,01-02-2012,1271.618161,1290.458052,0.985184318
231,2013,ETS MODEL-AAA,2012,01-03-2012,1454.67904,1472.840903,0.987514866
232,2013,ETS MODEL-AAA,2012,01-04-2012,1383.085355,1363.946403,0.986162132
233,2013,ETS MODEL-AAA,2012,01-05-2012,1256.578116,1297.229806,0.967648895
234,2013,ETS MODEL-AAA,2012,01-06-2012,1250.914708,1288.3086,0.970106761
235,2013,ETS MODEL-AAA,2012,01-07-2012,1424.697673,1226.417384,0.86082641
236,2013,ETS MODEL-AAA,2012,01-08-2012,1209.697283,1264.543456,0.954661242
237,2013,ETS MODEL-AAA,2012,01-09-2012,1290.272206,1343.343565,0.958868091
238,2013,ETS MODEL-AAA,2012,01-10-2012,1461.46163,1433.76733,0.981050272
239,2013,ETS MODEL-AAA,2012,01-11-2012,1659.064149,1594.72856,0.961221759
240,2013,ETS MODEL-AAA,2012,01-12-2012,1762.816821,1882.05577,0.932358855
241,2013,ETS MODEL-AAA,2013,01-01-2013,1515.563794,1509.087285,0.995726667
242,2013,ETS MODEL-AAA,2013,01-02-2013,1442.783329,1263.965687,0.876060641
243,2013,ETS MODEL-AAA,2013,01-03-2013,1494.53245,1450.233673,0.970359441
244,2013,ETS MODEL-AAA,2013,01-04-2013,1198.571522,1344.462234,0.878279511
245,2013,ETS MODEL-AAA,2013,01-05-2013,1415.179078,1276.726687,0.902166169
246,2013,ETS MODEL-AAA,2013,01-06-2013,1170.703381,1272.301278,0.913216363
247,2013,ETS MODEL-AAA,2013,01-07-2013,1399.530637,1211.691775,0.865784387
248,2013,ETS MODEL-AAA,2013,01-08-2013,1199.030512,1251.50667,0.95623451
249,2013,ETS MODEL-AAA,2013,01-09-2013,1285.699875,1332.180958,0.963847641
250,2013,ETS MODEL-AAA,2013,01-10-2013,1574.435691,1424.600622,0.904832525
251,2013,ETS MODEL-AAA,2013,01-11-2013,1576.22275,1590.055645,0.991224023
252,2013,ETS MODEL-AAA,2013,01-12-2013,1897.742974,1878.922892,0.990082913
253,2013,ETS MODEL-AAA,2014,01-01-2014,1431.416965,1511.255205,0.94422433
254,2013,ETS MODEL-AAA,2014,01-02-2014,1295.234895,1269.849281,0.980400764
255,2013,ETS MODEL-AAA,2014,01-03-2014,1298.673707,1456.105352,0.878775058
256,2013,ETS MODEL-AAA,2014,01-04-2014,1500.886595,1351.266226,0.900312009
257,2013,ETS MODEL-AAA,2014,01-05-2014,1255.636159,1288.048634,0.974186412
258,2013,ETS MODEL-AAA,2014,01-06-2014,1248.203353,1283.637639,0.971611768
259,2013,ETS MODEL-AAA,2014,01-07-2014,1295.34551,1226.692315,0.94700009
260,2013,ETS MODEL-AAA,2014,01-08-2014,1273.485672,1265.09377,0.99341029
261,2013,ETS MODEL-AAA,2014,01-09-2014,1338.542127,1347.461675,0.993336371
262,2013,ETS MODEL-AAA,2014,01-10-2014,1439.808765,1442.020236,0.998464052
263,2013,ETS MODEL-AAA,2014,01-11-2014,1584.612492,1605.933966,0.986544676
264,2013,ETS MODEL-AAA,2014,01-12-2014,1810.307154,1895.14824,0.953134425
265,2013,ETS MODEL-AAA,2015,01-01-2015,1662.501069,1527.280538,0.918664394
266,2013,ETS MODEL-AAA,2015,01-02-2015,1055.452127,1285.874614,0.781683621
267,2013,ETS MODEL-AAA,2015,01-03-2015,1572.300884,1472.130684,0.936290693
268,2013,ETS MODEL-AAA,2015,01-04-2015,1261.277434,1367.291559,0.915947022
269,2013,ETS MODEL-AAA,2015,01-05-2015,1093.949577,1304.073966,0.807921321
270,2013,ETS MODEL-AAA,2015,01-06-2015,1288.687455,1299.662971,0.991483182
271,2013,ETS MODEL-AAA,2015,01-07-2015,1421.229635,1242.717648,0.874396098
272,2013,ETS MODEL-AAA,2015,01-08-2015,1318.693795,1281.119103,0.971506128
273,2013,ETS MODEL-AAA,2015,01-09-2015,1331.707548,1363.487008,0.976136307
274,2013,ETS MODEL-AAA,2015,01-10-2015,1485.756646,1458.045569,0.981348845
275,2013,ETS MODEL-AAA,2015,01-11-2015,1571.134384,1621.959299,0.967650816
276,2013,ETS MODEL-AAA,2015,01-12-2015,1965.386745,1911.173573,0.972416028
277,2013,ETS MODEL-AAA,2016,01-01-2016,1468.391614,1543.30587,0.9489821
278,2013,ETS MODEL-AAA,2016,01-02-2016,1202.601797,1301.899946,0.917430566
279,2013,ETS MODEL-AAA,2016,01-03-2016,1493.370473,1488.156017,0.996508264
280,2013,ETS MODEL-AAA,2016,01-04-2016,1276.321496,1383.316891,0.916168931
281,2013,ETS MODEL-AAA,2016,01-05-2016,1217.321543,1320.099299,0.915570577
282,2013,ETS MODEL-AAA,2016,01-06-2016,1182.128779,1315.688304,0.887017787
283,2013,ETS MODEL-AAA,2016,01-07-2016,1395.204644,1258.74298,0.902192367
284,2013,ETS MODEL-AAA,2016,01-08-2016,1231.507862,1297.144435,0.94670227
285,2013,ETS MODEL-AAA,2016,01-09-2016,1377.947097,1379.51234,0.998864076
286,2013,ETS MODEL-AAA,2016,01-10-2016,1439.062829,1474.070902,0.975673006
287,2013,ETS MODEL-AAA,2016,01-11-2016,1594.208192,1637.984631,0.972540325
288,2013,ETS MODEL-AAA,2016,01-12-2016,1935.742292,1927.198906,0.995586506
