,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
166,2015,Lowest OutSample Mape,2014,01-10-2014,1439.808765,1433.847498,0.995859681
167,2015,Lowest OutSample Mape,2014,01-11-2014,1584.612492,1572.663792,0.992459544
168,2015,Lowest OutSample Mape,2014,01-12-2014,1810.307154,1839.042586,0.984126764
169,2015,Lowest OutSample Mape,2015,01-01-2015,1662.501069,1490.446743,0.896508743
170,2015,Lowest OutSample Mape,2015,01-02-2015,1055.452127,1238.864225,0.826224143
171,2015,Lowest OutSample Mape,2015,01-03-2015,1572.300884,1448.707172,0.921393091
172,2015,Lowest OutSample Mape,2015,01-04-2015,1261.277434,1323.560809,0.950618815
173,2015,Lowest OutSample Mape,2015,01-05-2015,1093.949577,1300.780901,0.810931574
174,2015,Lowest OutSample Mape,2015,01-06-2015,1288.687455,1298.982629,0.992011116
175,2015,Lowest OutSample Mape,2015,01-07-2015,1421.229635,1305.278758,0.9184151
176,2015,Lowest OutSample Mape,2015,01-08-2015,1318.693795,1170.409349,0.887552025
177,2015,Lowest OutSample Mape,2015,01-09-2015,1331.707548,1224.530529,0.919519102
178,2015,Lowest OutSample Mape,2015,01-10-2015,1485.756646,1408.368156,0.947913078
179,2015,Lowest OutSample Mape,2015,01-11-2015,1571.134384,1538.774564,0.979403531
180,2015,Lowest OutSample Mape,2015,01-12-2015,1965.386745,1817.84847,0.924931683
181,2015,Lowest OutSample Mape,2016,01-01-2016,1468.391614,1488.145263,0.986547425
182,2015,Lowest OutSample Mape,2016,01-02-2016,1202.601797,1207.33364,0.996065328
183,2015,Lowest OutSample Mape,2016,01-03-2016,1493.370473,1455.054958,0.974342927
184,2015,Lowest OutSample Mape,2016,01-04-2016,1276.321496,1347.983007,0.943853088
185,2015,Lowest OutSample Mape,2016,01-05-2016,1217.321543,1217.569265,0.999796502
186,2015,Lowest OutSample Mape,2016,01-06-2016,1182.128779,1259.099664,0.934887902
187,2015,Lowest OutSample Mape,2016,01-07-2016,1395.204644,1354.94309,0.971142904
188,2015,Lowest OutSample Mape,2016,01-08-2016,1231.507862,1274.520381,0.965073289
189,2015,Lowest OutSample Mape,2016,01-09-2016,1377.947097,1322.140965,0.959500527
190,2015,Lowest OutSample Mape,2016,01-10-2016,1439.062829,1475.388165,0.974757644
191,2015,Lowest OutSample Mape,2016,01-11-2016,1594.208192,1579.996838,0.991085635
192,2015,Lowest OutSample Mape,2016,01-12-2016,1935.742292,1884.509497,0.973533257
193,2015,Lowest INSample Mape,2009,01-01-2009,1611.309904,1610.379615,0.99942265
194,2015,Lowest INSample Mape,2009,01-02-2009,1343.166985,1342.958649,0.999844892
195,2015,Lowest INSample Mape,2009,01-03-2009,1563.248524,1562.926133,0.999793769
196,2015,Lowest INSample Mape,2009,01-04-2009,1542.646804,1542.424677,0.999856009
197,2015,Lowest INSample Mape,2009,01-05-2009,1393.522857,1393.480549,0.999969639
198,2015,Lowest INSample Mape,2009,01-06-2009,1505.522483,1505.384256,0.999908187
199,2015,Lowest INSample Mape,2009,01-07-2009,1192.494217,1192.667259,0.99985489
200,2015,Lowest INSample Mape,2009,01-08-2009,1333.554577,1333.573395,0.999985889
201,2015,Lowest INSample Mape,2009,01-09-2009,1511.87638,1511.724425,0.999899492
202,2015,Lowest INSample Mape,2009,01-10-2009,1552.030974,1551.85606,0.9998873
203,2015,Lowest INSample Mape,2009,01-11-2009,1770.121471,1769.7541,0.99979246
204,2015,Lowest INSample Mape,2009,01-12-2009,2142.850474,2142.833424,0.999992043
205,2015,Lowest INSample Mape,2010,01-01-2010,1578.423817,1584.242281,0.996313751
206,2015,Lowest INSample Mape,2010,01-02-2010,1282.251782,1295.328835,0.989801494
207,2015,Lowest INSample Mape,2010,01-03-2010,1565.996896,1538.287283,0.982305449
208,2015,Lowest INSample Mape,2010,01-04-2010,1406.814602,1468.447483,0.956189763
209,2015,Lowest INSample Mape,2010,01-05-2010,1371.829516,1367.521576,0.996859712
210,2015,Lowest INSample Mape,2010,01-06-2010,1466.819963,1453.410754,0.990858313
211,2015,Lowest INSample Mape,2010,01-07-2010,1230.075862,1163.125503,0.945572171
212,2015,Lowest INSample Mape,2010,01-08-2010,1316.638416,1276.705143,0.969670281
213,2015,Lowest INSample Mape,2010,01-09-2010,1461.90817,1458.808483,0.997879698
214,2015,Lowest INSample Mape,2010,01-10-2010,1415.710175,1490.17509,0.947401017
215,2015,Lowest INSample Mape,2010,01-11-2010,1565.999475,1723.395272,0.899491795
216,2015,Lowest INSample Mape,2010,01-12-2010,1872.276643,2138.459427,0.857829352
217,2015,Lowest INSample Mape,2011,01-01-2011,1700.400237,1633.286972,0.960530901
218,2015,Lowest INSample Mape,2011,01-02-2011,1277.937634,1222.800212,0.956854372
219,2015,Lowest INSample Mape,2011,01-03-2011,1484.16489,1489.1762,0.996623481
220,2015,Lowest INSample Mape,2011,01-04-2011,1577.484479,1417.602049,0.898647225
221,2015,Lowest INSample Mape,2011,01-05-2011,1256.881635,1244.176065,0.989891196
222,2015,Lowest INSample Mape,2011,01-06-2011,1365.863201,1404.781748,0.971506263
223,2015,Lowest INSample Mape,2011,01-07-2011,1194.73614,1147.879343,0.960780631
224,2015,Lowest INSample Mape,2011,01-08-2011,1408.328134,1238.154329,0.879166083
225,2015,Lowest INSample Mape,2011,01-09-2011,1329.566484,1336.97008,0.994431571
226,2015,Lowest INSample Mape,2011,01-10-2011,1471.344872,1411.751553,0.959497382
227,2015,Lowest INSample Mape,2011,01-11-2011,1591.192481,1551.885267,0.975297009
228,2015,Lowest INSample Mape,2011,01-12-2011,1946.487392,1915.752701,0.984210177
229,2015,Lowest INSample Mape,2012,01-01-2012,1579.553659,1535.875033,0.972347489
