index,Metal,Title,Headline,Ref Link,Location,Date,Time,Date-Time
77,Steel,EUROPE ALLOY STEEL SCRAP,"Prices up slightly on improved demand, sentiment",https://metalbulletin.com/Article/3913504/steel/EUROPE-ALLOY-STEEL-SCRAP-Prices-up-slightly-on-improved-demand-sentiment.html,London,2020-01-10,16:52,2020-10-01 16:52:00
78,Steel,DAILY SCRAP REPORT,Mills keep deep-sea purchases slow amid weak rebar market,https://metalbulletin.com/Article/3913193/steel/DAILY-SCRAP-REPORT-Mills-keep-deep-sea-purchases-slow-amid-weak-rebar-market.html,Mugla,2020-01-10,16:37,2020-10-01 16:37:00
79,Steel,EUROPE HRC,Northern European index stays on uptrend,https://metalbulletin.com/Article/3913192/steel/EUROPE-HRC-Northern-European-index-stays-on-uptrend.html,Dnepr,2020-01-10,16:25,2020-10-01 16:25:00
80,Steel,EUROPE STAINLESS STEEL,Prices decrease on lower alloy surcharges,https://metalbulletin.com/Article/3913405/steel/EUROPE-STAINLESS-STEEL-Prices-decrease-on-lower-alloy-surcharges.html,Malta,2020-01-10,16:25,2020-10-01 16:25:00
81,Steel,POLAND REBAR,New year demand recovery drives price rise,https://metalbulletin.com/Article/3913373/steel/POLAND-REBAR-New-year-demand-recovery-drives-price-rise.html,Dnepr,2020-01-10,16:24,2020-10-01 16:24:00
82,Steel,Indian mills plan second domestic HRC price hike for January,Indian mills plan second domestic HRC price hike for January,https://metalbulletin.com/Article/3913306/steel/Indian-mills-plan-second-domestic-HRC-price-hike-for-January.html,Mumbai,2020-01-10,16:01,2020-10-01 16:01:00
83,Steel,TURKEY FLAT STEEL,Prices increase amid weak market activity,https://metalbulletin.com/Article/3913126/steel/TURKEY-FLAT-STEEL-Prices-increase-amid-weak-market-activity.html,Bursa,2020-01-10,14:43,2020-10-01 14:43:00
84,Steel,TURKEY COATED FLAT STEEL,Prices largely steady on weak demand,https://metalbulletin.com/Article/3913128/steel/TURKEY-COATED-FLAT-STEEL-Prices-largely-steady-on-weak-demand.html,Bursa,2020-01-10,14:35,2020-10-01 14:35:00
85,Steel,IRON ORE DAILY,Fixed-price seaborne deals indicate better sentiment,https://metalbulletin.com/Article/3913098/steel/IRON-ORE-DAILY-Fixed-price-seaborne-deals-indicate-better-sentiment.html,Shanghai,2020-01-10,12:00,2020-10-01 12:00:00
86,Steel,COKING COAL DAILY,Fob Australia prices cross $150 per tonne,https://metalbulletin.com/Article/3913095/steel/COKING-COAL-DAILY-Fob-Australia-prices-cross-150-per-tonne.html,Singapore,2020-01-10,11:40,2020-10-01 11:40:00
87,Steel,CHINA HRC,Overseas buyers warming up to higher prices,https://metalbulletin.com/Article/3912873/steel/CHINA-HRC-Overseas-buyers-warming-up-to-higher-prices.html,Shanghai,2020-01-09,10:34,2020-09-01 10:34:00
88,Steel,"China issues 3,180 tonnes of ferrous scrap import quotas","China issues 3,180 tonnes of ferrous scrap import quotas",https://metalbulletin.com/Article/3912869/steel/China-issues-3180-tonnes-of-ferrous-scrap-import-quotas.html,Singapore,2020-01-09,09:45,2020-09-01 09:45:00
89,Steel,"Flat Steel Products Trade Log, January 9, 2020","Flat Steel Products Trade Log, January 9, 2020",https://metalbulletin.com/Article/3912859/steel/Flat-Steel-Products-Trade-Log-January-9-2020.html,Not Available,2020-01-09,09:45,2020-09-01 09:45:00
90,Steel,CHINA REBAR,Rising yuan pushes up export prices,https://metalbulletin.com/Article/3912871/steel/CHINA-REBAR-Rising-yuan-pushes-up-export-prices.html,Shanghai,2020-01-09,09:30,2020-09-01 09:30:00
91,Steel,"Long Steel Products Trade Log, January 9, 2020","Long Steel Products Trade Log, January 9, 2020",https://metalbulletin.com/Article/3912860/steel/Long-Steel-Products-Trade-Log-January-9-2020.html,Not Available,2020-01-09,08:44,2020-09-01 08:44:00
92,Steel,"Semi-finished Steel Products Trade Log, January 9, 2020","Semi-finished Steel Products Trade Log, January 9, 2020",https://metalbulletin.com/Article/3912861/steel/Semi-finished-Steel-Products-Trade-Log-January-9-2020.html,Not Available,2020-01-09,08:44,2020-09-01 08:44:00
93,Steel,2020 PREVIEW,US HRC-scrap gap could prove perilous for steel,https://metalbulletin.com/Article/3909309/steel/2020-PREVIEW-US-HRC-scrap-gap-could-prove-perilous-for-steel.html,Chicago,2020-01-09,08:00,2020-09-01 08:00:00
94,Steel,China’s daily crude steel output falls in late December,China’s daily crude steel output falls in late December,https://metalbulletin.com/Article/3912868/steel/Chinas-daily-crude-steel-output-falls-in-late-December.html,Shanghai,2020-01-09,07:05,2020-09-01 07:05:00
95,Steel,China's stainless steel prices fall further amid inactivity,China's stainless steel prices fall further amid inactivity,https://metalbulletin.com/Article/3912867/steel/Chinas-stainless-steel-prices-fall-further-amid-inactivity.html,Shanghai,2020-01-09,06:51,2020-09-01 06:51:00
96,Steel,CAPACITY WATCH,"Posco SS Vina's 500,000-tpy rebar mill listed for sale",https://metalbulletin.com/Article/3912862/steel/CAPACITY-WATCH-Posco-SS-Vinas-500000-tpy-rebar-mill-listed-for-sale.html,Singapore,2020-01-09,05:32,2020-09-01 05:32:00
97,Steel,IN CASE YOU MISSED IT,5 key stories from January 8,https://metalbulletin.com/Article/3912858/steel/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-8.html,New York,2020-01-09,00:05,2020-09-01 00:05:00
98,Steel,US HRC index above $610 per ton; mills announce new price increases,US HRC index above $610 per ton; mills announce new price increases,https://metalbulletin.com/Article/3912857/steel/US-HRC-index-above-610-per-ton-mills-announce-new-price-increases.html,New York,2020-01-08,22:48,2020-08-01 22:48:00
